Source,Source_Lat,Source_Lon,Destination,Dest_Lat,Dest_Lon,Road Type,Distance (km),Travel Time (hrs)
Thanjavur,10.7867,79.1386,Thoothukudi,8.7642,78.1348,State Road,315.79,7.23
Chennai,13.0827,80.2707,Coimbatore,11.0168,76.9558,Local Road,356.36,4.86
Karur,10.9601,78.0766,Tirunelveli,8.7139,77.7567,State Road,54.39,0.76
Cuddalore,11.7447,79.768,Nagercoil,8.1773,77.4344,State Road,237.19,3.87
Sivakasi,9.4486,77.7984,Vellore,12.9165,79.1325,Highway,383.4,5.67
Krishnagiri,12.5192,78.2138,Karur,10.9601,78.0766,State Road,222.52,4.49
Erode,11.341,77.7172,Dindigul,10.3624,77.9695,Local Road,360.27,4.71
Erode,11.341,77.7172,Thoothukudi,8.7642,78.1348,Local Road,213.89,3.84
Nagercoil,8.1773,77.4344,Coimbatore,11.0168,76.9558,Local Road,411.44,7.41
Dharmapuri,12.1357,78.1603,Tiruchirappalli,10.7905,78.7047,Local Road,295.85,4.35
Dindigul,10.3624,77.9695,Tirunelveli,8.7139,77.7567,State Road,79.38,1.05
Madurai,9.9252,78.1198,Thoothukudi,8.7642,78.1348,State Road,296.96,4.78
Tirunelveli,8.7139,77.7567,Salem,11.6643,78.146,State Road,300.81,4.31
Madurai,9.9252,78.1198,Thoothukudi,8.7642,78.1348,Local Road,180.55,3.87
Krishnagiri,12.5192,78.2138,Salem,11.6643,78.146,Highway,104.84,1.74
Kanchipuram,12.8342,79.7036,Salem,11.6643,78.146,Local Road,494.5,8.18
Erode,11.341,77.7172,Tiruchirappalli,10.7905,78.7047,Highway,438.59,9.27
Tirunelveli,8.7139,77.7567,Krishnagiri,12.5192,78.2138,Highway,355.98,5.67
Tirunelveli,8.7139,77.7567,Erode,11.341,77.7172,State Road,408.33,8.08
Karur,10.9601,78.0766,Krishnagiri,12.5192,78.2138,Highway,106.32,1.97
Erode,11.341,77.7172,Sivakasi,9.4486,77.7984,State Road,438.05,10.18
Tirunelveli,8.7139,77.7567,Dharmapuri,12.1357,78.1603,Local Road,250.04,4.02
Nagercoil,8.1773,77.4344,Coimbatore,11.0168,76.9558,Highway,356.04,4.53
Kanchipuram,12.8342,79.7036,Dharmapuri,12.1357,78.1603,Local Road,460.8,5.82
Nagercoil,8.1773,77.4344,Dharmapuri,12.1357,78.1603,State Road,411.44,8.86
Madurai,9.9252,78.1198,Thoothukudi,8.7642,78.1348,Highway,86.8,1.92
Tirunelveli,8.7139,77.7567,Thoothukudi,8.7642,78.1348,State Road,143.57,2.41
Chennai,13.0827,80.2707,Tiruchirappalli,10.7905,78.7047,Highway,387.85,5.5
Nagercoil,8.1773,77.4344,Vellore,12.9165,79.1325,State Road,177.1,4.31
Krishnagiri,12.5192,78.2138,Tirunelveli,8.7139,77.7567,State Road,346.45,6.16
Dindigul,10.3624,77.9695,Cuddalore,11.7447,79.768,Highway,122.57,1.72
Erode,11.341,77.7172,Coimbatore,11.0168,76.9558,Local Road,366.12,5.7
Tirunelveli,8.7139,77.7567,Nagercoil,8.1773,77.4344,State Road,274.26,5.52
Sivakasi,9.4486,77.7984,Erode,11.341,77.7172,Local Road,183.06,2.6
Sivakasi,9.4486,77.7984,Kanchipuram,12.8342,79.7036,Highway,468.43,9.77
Coimbatore,11.0168,76.9558,Salem,11.6643,78.146,Highway,217.63,3.04
Thoothukudi,8.7642,78.1348,Sivakasi,9.4486,77.7984,Local Road,242.77,5.27
Tirunelveli,8.7139,77.7567,Erode,11.341,77.7172,Local Road,77.71,1.06
Erode,11.341,77.7172,Thoothukudi,8.7642,78.1348,Local Road,147.52,2.37
Thoothukudi,8.7642,78.1348,Salem,11.6643,78.146,State Road,457.15,7.36
Pudukkottai,10.3833,78.8167,Dindigul,10.3624,77.9695,Highway,57.75,1.2
Coimbatore,11.0168,76.9558,Krishnagiri,12.5192,78.2138,Local Road,173.52,3.1
Tirunelveli,8.7139,77.7567,Kanchipuram,12.8342,79.7036,Highway,453.1,10.31
Dharmapuri,12.1357,78.1603,Krishnagiri,12.5192,78.2138,Highway,234.16,3.5
Pudukkottai,10.3833,78.8167,Kanchipuram,12.8342,79.7036,Highway,68.48,0.91
Thanjavur,10.7867,79.1386,Madurai,9.9252,78.1198,Highway,395.65,9.1
Madurai,9.9252,78.1198,Nagercoil,8.1773,77.4344,State Road,117.7,2.27
Thanjavur,10.7867,79.1386,Cuddalore,11.7447,79.768,State Road,267.54,6.46
Nagercoil,8.1773,77.4344,Coimbatore,11.0168,76.9558,State Road,207.22,4.44
Vellore,12.9165,79.1325,Tirunelveli,8.7139,77.7567,Highway,194.34,4.78
Cuddalore,11.7447,79.768,Tirunelveli,8.7139,77.7567,Local Road,207.22,2.73
Cuddalore,11.7447,79.768,Coimbatore,11.0168,76.9558,State Road,355.47,7.64
Thoothukudi,8.7642,78.1348,Chennai,13.0827,80.2707,Highway,341.08,5.0
Karur,10.9601,78.0766,Tirunelveli,8.7139,77.7567,State Road,314.88,4.14
Chennai,13.0827,80.2707,Thoothukudi,8.7642,78.1348,Local Road,464.22,10.4
Kanchipuram,12.8342,79.7036,Thoothukudi,8.7642,78.1348,State Road,236.25,3.88
Krishnagiri,12.5192,78.2138,Sivakasi,9.4486,77.7984,State Road,248.77,4.45
Dindigul,10.3624,77.9695,Erode,11.341,77.7172,Local Road,340.38,4.42
Dindigul,10.3624,77.9695,Sivakasi,9.4486,77.7984,State Road,449.14,8.8
Thoothukudi,8.7642,78.1348,Madurai,9.9252,78.1198,Local Road,178.14,2.26
Dharmapuri,12.1357,78.1603,Coimbatore,11.0168,76.9558,State Road,426.98,5.51
Pudukkottai,10.3833,78.8167,Tiruchirappalli,10.7905,78.7047,Local Road,238.22,5.89
Krishnagiri,12.5192,78.2138,Dindigul,10.3624,77.9695,Highway,436.18,9.43
Sivakasi,9.4486,77.7984,Dharmapuri,12.1357,78.1603,State Road,404.7,6.03
Dindigul,10.3624,77.9695,Dharmapuri,12.1357,78.1603,State Road,380.21,4.96
Erode,11.341,77.7172,Dharmapuri,12.1357,78.1603,Local Road,143.73,2.17
Tiruchirappalli,10.7905,78.7047,Dharmapuri,12.1357,78.1603,Highway,437.77,6.47
Thanjavur,10.7867,79.1386,Sivakasi,9.4486,77.7984,State Road,482.92,9.18
Krishnagiri,12.5192,78.2138,Tirunelveli,8.7139,77.7567,Local Road,188.38,2.56
Chennai,13.0827,80.2707,Krishnagiri,12.5192,78.2138,Local Road,329.04,5.51
Tirunelveli,8.7139,77.7567,Madurai,9.9252,78.1198,State Road,461.25,6.35
Thoothukudi,8.7642,78.1348,Kanchipuram,12.8342,79.7036,Local Road,134.47,2.39
Cuddalore,11.7447,79.768,Thoothukudi,8.7642,78.1348,State Road,417.59,5.24
Sivakasi,9.4486,77.7984,Chennai,13.0827,80.2707,State Road,254.46,6.27
Cuddalore,11.7447,79.768,Madurai,9.9252,78.1198,State Road,491.04,11.63
Salem,11.6643,78.146,Vellore,12.9165,79.1325,Local Road,400.58,7.41
Thanjavur,10.7867,79.1386,Chennai,13.0827,80.2707,State Road,268.78,3.45
Tirunelveli,8.7139,77.7567,Chennai,13.0827,80.2707,Local Road,159.91,2.48
Nagercoil,8.1773,77.4344,Erode,11.341,77.7172,State Road,398.31,9.01
Thoothukudi,8.7642,78.1348,Dindigul,10.3624,77.9695,State Road,131.75,3.11
Sivakasi,9.4486,77.7984,Dindigul,10.3624,77.9695,Highway,472.39,6.15
Krishnagiri,12.5192,78.2138,Thanjavur,10.7867,79.1386,Local Road,186.91,3.0
Sivakasi,9.4486,77.7984,Dindigul,10.3624,77.9695,State Road,324.52,5.23
Madurai,9.9252,78.1198,Thanjavur,10.7867,79.1386,Local Road,308.68,3.99
Madurai,9.9252,78.1198,Tirunelveli,8.7139,77.7567,Local Road,475.09,6.11
Dharmapuri,12.1357,78.1603,Karur,10.9601,78.0766,Local Road,79.82,1.76
Dharmapuri,12.1357,78.1603,Madurai,9.9252,78.1198,Highway,315.36,5.8
Dindigul,10.3624,77.9695,Pudukkottai,10.3833,78.8167,Highway,99.16,1.28
Nagercoil,8.1773,77.4344,Kanchipuram,12.8342,79.7036,Local Road,160.85,3.71
Pudukkottai,10.3833,78.8167,Vellore,12.9165,79.1325,Local Road,292.61,4.86
Dharmapuri,12.1357,78.1603,Karur,10.9601,78.0766,Local Road,446.21,9.66
Dharmapuri,12.1357,78.1603,Madurai,9.9252,78.1198,Local Road,126.54,1.61
Salem,11.6643,78.146,Pudukkottai,10.3833,78.8167,State Road,220.6,3.81
Tiruchirappalli,10.7905,78.7047,Dharmapuri,12.1357,78.1603,Highway,474.15,10.19
Karur,10.9601,78.0766,Thanjavur,10.7867,79.1386,Local Road,386.35,5.84
Kanchipuram,12.8342,79.7036,Tirunelveli,8.7139,77.7567,Local Road,275.97,5.62
Erode,11.341,77.7172,Pudukkottai,10.3833,78.8167,Highway,294.11,6.43
Erode,11.341,77.7172,Krishnagiri,12.5192,78.2138,Highway,283.77,4.38
Dharmapuri,12.1357,78.1603,Erode,11.341,77.7172,Local Road,317.24,6.23
Nagercoil,8.1773,77.4344,Dindigul,10.3624,77.9695,Local Road,430.24,8.86
Cuddalore,11.7447,79.768,Tiruchirappalli,10.7905,78.7047,State Road,153.57,2.78
Dindigul,10.3624,77.9695,Tiruchirappalli,10.7905,78.7047,State Road,329.71,5.95
Pudukkottai,10.3833,78.8167,Dindigul,10.3624,77.9695,State Road,226.55,3.64
Sivakasi,9.4486,77.7984,Kanchipuram,12.8342,79.7036,State Road,372.22,5.06
Erode,11.341,77.7172,Dharmapuri,12.1357,78.1603,Local Road,352.48,8.02
Salem,11.6643,78.146,Sivakasi,9.4486,77.7984,State Road,344.63,5.75
Krishnagiri,12.5192,78.2138,Dharmapuri,12.1357,78.1603,Highway,308.78,4.75
Karur,10.9601,78.0766,Krishnagiri,12.5192,78.2138,State Road,153.75,2.62
Chennai,13.0827,80.2707,Vellore,12.9165,79.1325,State Road,374.35,6.34
Vellore,12.9165,79.1325,Thanjavur,10.7867,79.1386,Highway,213.93,3.59
Tirunelveli,8.7139,77.7567,Pudukkottai,10.3833,78.8167,Local Road,288.39,5.01
Coimbatore,11.0168,76.9558,Kanchipuram,12.8342,79.7036,Local Road,81.44,1.73
Salem,11.6643,78.146,Thoothukudi,8.7642,78.1348,State Road,381.66,5.56
Dindigul,10.3624,77.9695,Nagercoil,8.1773,77.4344,State Road,277.74,3.81
Cuddalore,11.7447,79.768,Nagercoil,8.1773,77.4344,State Road,412.58,8.14
Kanchipuram,12.8342,79.7036,Krishnagiri,12.5192,78.2138,Highway,178.72,2.65
Coimbatore,11.0168,76.9558,Tiruchirappalli,10.7905,78.7047,State Road,240.04,4.76
Krishnagiri,12.5192,78.2138,Thoothukudi,8.7642,78.1348,Highway,229.72,3.79
Kanchipuram,12.8342,79.7036,Nagercoil,8.1773,77.4344,State Road,202.04,2.93
Erode,11.341,77.7172,Chennai,13.0827,80.2707,State Road,144.79,2.11
Madurai,9.9252,78.1198,Karur,10.9601,78.0766,State Road,484.25,6.17
Chennai,13.0827,80.2707,Coimbatore,11.0168,76.9558,State Road,450.68,7.56
Dharmapuri,12.1357,78.1603,Tiruchirappalli,10.7905,78.7047,State Road,208.91,2.67
Madurai,9.9252,78.1198,Cuddalore,11.7447,79.768,Local Road,382.07,6.47
Coimbatore,11.0168,76.9558,Karur,10.9601,78.0766,State Road,364.25,4.87
Vellore,12.9165,79.1325,Thanjavur,10.7867,79.1386,Local Road,144.16,2.49
Karur,10.9601,78.0766,Vellore,12.9165,79.1325,Local Road,374.54,6.2
Pudukkottai,10.3833,78.8167,Salem,11.6643,78.146,Local Road,289.38,4.73
Coimbatore,11.0168,76.9558,Nagercoil,8.1773,77.4344,Highway,226.17,3.49
Coimbatore,11.0168,76.9558,Vellore,12.9165,79.1325,Highway,70.54,0.94
Karur,10.9601,78.0766,Cuddalore,11.7447,79.768,Highway,57.82,1.16
Tirunelveli,8.7139,77.7567,Erode,11.341,77.7172,Local Road,127.6,1.66
Erode,11.341,77.7172,Krishnagiri,12.5192,78.2138,State Road,312.1,4.95
Cuddalore,11.7447,79.768,Vellore,12.9165,79.1325,Local Road,305.09,5.67
Chennai,13.0827,80.2707,Kanchipuram,12.8342,79.7036,Highway,314.99,6.14
Tirunelveli,8.7139,77.7567,Madurai,9.9252,78.1198,State Road,342.4,6.72
Pudukkottai,10.3833,78.8167,Thoothukudi,8.7642,78.1348,Local Road,350.46,4.67
Pudukkottai,10.3833,78.8167,Coimbatore,11.0168,76.9558,State Road,161.58,2.65
Dindigul,10.3624,77.9695,Coimbatore,11.0168,76.9558,Local Road,130.14,1.64
Karur,10.9601,78.0766,Krishnagiri,12.5192,78.2138,State Road,113.11,1.44
Erode,11.341,77.7172,Chennai,13.0827,80.2707,Highway,310.45,6.81
Erode,11.341,77.7172,Krishnagiri,12.5192,78.2138,State Road,210.36,2.85
Dindigul,10.3624,77.9695,Madurai,9.9252,78.1198,Local Road,112.77,2.57
Thanjavur,10.7867,79.1386,Dindigul,10.3624,77.9695,Highway,334.7,5.9
Salem,11.6643,78.146,Krishnagiri,12.5192,78.2138,Local Road,100.92,1.3
Coimbatore,11.0168,76.9558,Nagercoil,8.1773,77.4344,Local Road,405.02,8.07
Dindigul,10.3624,77.9695,Krishnagiri,12.5192,78.2138,Local Road,156.87,2.16
Nagercoil,8.1773,77.4344,Salem,11.6643,78.146,Local Road,132.58,2.19
Vellore,12.9165,79.1325,Krishnagiri,12.5192,78.2138,State Road,272.55,5.79
Tirunelveli,8.7139,77.7567,Dindigul,10.3624,77.9695,Local Road,306.68,7.15
Erode,11.341,77.7172,Thanjavur,10.7867,79.1386,State Road,484.19,6.88
Nagercoil,8.1773,77.4344,Dharmapuri,12.1357,78.1603,State Road,308.79,4.06
Erode,11.341,77.7172,Dharmapuri,12.1357,78.1603,State Road,397.14,5.36
Sivakasi,9.4486,77.7984,Kanchipuram,12.8342,79.7036,Local Road,192.49,3.55
Pudukkottai,10.3833,78.8167,Sivakasi,9.4486,77.7984,Local Road,123.15,2.4
Kanchipuram,12.8342,79.7036,Nagercoil,8.1773,77.4344,Local Road,247.06,3.96
Dindigul,10.3624,77.9695,Tiruchirappalli,10.7905,78.7047,Local Road,335.42,7.45
Thanjavur,10.7867,79.1386,Coimbatore,11.0168,76.9558,Local Road,487.19,6.8
Tiruchirappalli,10.7905,78.7047,Chennai,13.0827,80.2707,Highway,477.71,8.61
Dharmapuri,12.1357,78.1603,Cuddalore,11.7447,79.768,Local Road,363.13,5.7
Krishnagiri,12.5192,78.2138,Sivakasi,9.4486,77.7984,Highway,79.35,1.0
Coimbatore,11.0168,76.9558,Pudukkottai,10.3833,78.8167,Local Road,175.82,2.54
Vellore,12.9165,79.1325,Tirunelveli,8.7139,77.7567,Local Road,156.08,2.15
Tirunelveli,8.7139,77.7567,Thoothukudi,8.7642,78.1348,Highway,94.91,1.39
Cuddalore,11.7447,79.768,Dharmapuri,12.1357,78.1603,Local Road,415.79,5.45
Dharmapuri,12.1357,78.1603,Salem,11.6643,78.146,Highway,350.76,5.51
Pudukkottai,10.3833,78.8167,Dindigul,10.3624,77.9695,Local Road,341.36,7.66
Tiruchirappalli,10.7905,78.7047,Chennai,13.0827,80.2707,Highway,221.62,3.74
Krishnagiri,12.5192,78.2138,Pudukkottai,10.3833,78.8167,Highway,258.41,4.21
Salem,11.6643,78.146,Thanjavur,10.7867,79.1386,Highway,189.94,3.29
Kanchipuram,12.8342,79.7036,Madurai,9.9252,78.1198,State Road,128.77,1.64
Madurai,9.9252,78.1198,Vellore,12.9165,79.1325,State Road,294.54,5.08
Salem,11.6643,78.146,Dindigul,10.3624,77.9695,Local Road,242.55,4.52
Chennai,13.0827,80.2707,Tirunelveli,8.7139,77.7567,Local Road,83.48,1.43
Thoothukudi,8.7642,78.1348,Cuddalore,11.7447,79.768,Highway,343.38,5.6
Tirunelveli,8.7139,77.7567,Chennai,13.0827,80.2707,State Road,334.63,7.53
Dharmapuri,12.1357,78.1603,Krishnagiri,12.5192,78.2138,Highway,212.41,3.41
Tirunelveli,8.7139,77.7567,Krishnagiri,12.5192,78.2138,State Road,470.88,6.84
Krishnagiri,12.5192,78.2138,Dindigul,10.3624,77.9695,Local Road,209.12,2.7
Karur,10.9601,78.0766,Pudukkottai,10.3833,78.8167,Local Road,184.33,4.42
Cuddalore,11.7447,79.768,Salem,11.6643,78.146,Highway,80.82,1.53
Dindigul,10.3624,77.9695,Vellore,12.9165,79.1325,State Road,404.46,6.08
Salem,11.6643,78.146,Sivakasi,9.4486,77.7984,State Road,359.38,4.73
Thanjavur,10.7867,79.1386,Karur,10.9601,78.0766,Local Road,447.62,9.17
Thoothukudi,8.7642,78.1348,Thanjavur,10.7867,79.1386,Highway,91.98,1.74
Tirunelveli,8.7139,77.7567,Thanjavur,10.7867,79.1386,Highway,279.79,6.87
Salem,11.6643,78.146,Nagercoil,8.1773,77.4344,Local Road,144.91,2.15
Salem,11.6643,78.146,Pudukkottai,10.3833,78.8167,Highway,198.58,3.81
Nagercoil,8.1773,77.4344,Thoothukudi,8.7642,78.1348,State Road,52.51,0.79
Salem,11.6643,78.146,Sivakasi,9.4486,77.7984,State Road,252.2,3.18
Chennai,13.0827,80.2707,Cuddalore,11.7447,79.768,State Road,333.0,6.7
Krishnagiri,12.5192,78.2138,Pudukkottai,10.3833,78.8167,Highway,248.25,4.93
Nagercoil,8.1773,77.4344,Cuddalore,11.7447,79.768,Highway,449.29,8.8
Karur,10.9601,78.0766,Cuddalore,11.7447,79.768,Local Road,354.73,6.33
Salem,11.6643,78.146,Thanjavur,10.7867,79.1386,Highway,480.54,8.48
Tiruchirappalli,10.7905,78.7047,Sivakasi,9.4486,77.7984,State Road,476.18,10.36
Sivakasi,9.4486,77.7984,Thanjavur,10.7867,79.1386,Local Road,138.37,3.35
Erode,11.341,77.7172,Chennai,13.0827,80.2707,Local Road,173.38,3.54
Sivakasi,9.4486,77.7984,Salem,11.6643,78.146,State Road,372.44,8.0
Pudukkottai,10.3833,78.8167,Nagercoil,8.1773,77.4344,Highway,136.11,3.0
Dindigul,10.3624,77.9695,Tirunelveli,8.7139,77.7567,Highway,284.62,3.75
Salem,11.6643,78.146,Sivakasi,9.4486,77.7984,State Road,432.08,6.99
Chennai,13.0827,80.2707,Karur,10.9601,78.0766,Highway,463.77,10.42
Tiruchirappalli,10.7905,78.7047,Coimbatore,11.0168,76.9558,Local Road,485.78,6.14
Tirunelveli,8.7139,77.7567,Erode,11.341,77.7172,Local Road,464.69,8.77
Sivakasi,9.4486,77.7984,Kanchipuram,12.8342,79.7036,Local Road,88.93,1.56
Chennai,13.0827,80.2707,Vellore,12.9165,79.1325,State Road,477.1,8.68
Coimbatore,11.0168,76.9558,Madurai,9.9252,78.1198,State Road,467.61,10.45
Coimbatore,11.0168,76.9558,Dharmapuri,12.1357,78.1603,Local Road,475.74,11.24
Coimbatore,11.0168,76.9558,Thanjavur,10.7867,79.1386,State Road,250.55,4.24
Thanjavur,10.7867,79.1386,Sivakasi,9.4486,77.7984,Local Road,315.36,4.43
Tiruchirappalli,10.7905,78.7047,Sivakasi,9.4486,77.7984,Local Road,325.23,6.61
Karur,10.9601,78.0766,Tirunelveli,8.7139,77.7567,Highway,370.32,7.08
Dindigul,10.3624,77.9695,Thanjavur,10.7867,79.1386,State Road,442.87,6.08
Sivakasi,9.4486,77.7984,Chennai,13.0827,80.2707,Highway,395.57,5.27
Sivakasi,9.4486,77.7984,Chennai,13.0827,80.2707,Local Road,310.87,5.05
Nagercoil,8.1773,77.4344,Dharmapuri,12.1357,78.1603,State Road,143.67,1.85
Dindigul,10.3624,77.9695,Nagercoil,8.1773,77.4344,Local Road,226.16,4.75
Salem,11.6643,78.146,Thanjavur,10.7867,79.1386,State Road,71.26,1.01
Chennai,13.0827,80.2707,Kanchipuram,12.8342,79.7036,State Road,202.53,2.97
Tirunelveli,8.7139,77.7567,Nagercoil,8.1773,77.4344,Local Road,60.96,1.19
Vellore,12.9165,79.1325,Thanjavur,10.7867,79.1386,Local Road,170.17,3.88
Dharmapuri,12.1357,78.1603,Pudukkottai,10.3833,78.8167,Highway,495.55,8.33
Chennai,13.0827,80.2707,Tiruchirappalli,10.7905,78.7047,State Road,230.13,5.55
Coimbatore,11.0168,76.9558,Cuddalore,11.7447,79.768,State Road,136.35,1.85
Tiruchirappalli,10.7905,78.7047,Thoothukudi,8.7642,78.1348,State Road,334.68,7.12
Salem,11.6643,78.146,Tirunelveli,8.7139,77.7567,State Road,482.61,6.58
Madurai,9.9252,78.1198,Karur,10.9601,78.0766,Highway,345.44,5.3
Krishnagiri,12.5192,78.2138,Sivakasi,9.4486,77.7984,State Road,324.55,8.0
Pudukkottai,10.3833,78.8167,Salem,11.6643,78.146,Highway,118.23,1.64
Chennai,13.0827,80.2707,Dindigul,10.3624,77.9695,Local Road,414.32,6.19
Chennai,13.0827,80.2707,Krishnagiri,12.5192,78.2138,Highway,232.76,5.17
Tirunelveli,8.7139,77.7567,Erode,11.341,77.7172,State Road,412.97,5.81
Dindigul,10.3624,77.9695,Tiruchirappalli,10.7905,78.7047,Local Road,201.81,3.23
Erode,11.341,77.7172,Nagercoil,8.1773,77.4344,State Road,154.64,2.24
Coimbatore,11.0168,76.9558,Pudukkottai,10.3833,78.8167,Highway,139.23,1.98
Tiruchirappalli,10.7905,78.7047,Vellore,12.9165,79.1325,Highway,305.94,4.43
Kanchipuram,12.8342,79.7036,Tiruchirappalli,10.7905,78.7047,State Road,140.18,2.57
Chennai,13.0827,80.2707,Krishnagiri,12.5192,78.2138,Highway,143.82,1.96
Tiruchirappalli,10.7905,78.7047,Cuddalore,11.7447,79.768,Local Road,208.4,3.87
Cuddalore,11.7447,79.768,Vellore,12.9165,79.1325,State Road,274.3,6.42
Sivakasi,9.4486,77.7984,Thanjavur,10.7867,79.1386,State Road,114.59,1.54
Salem,11.6643,78.146,Dharmapuri,12.1357,78.1603,State Road,124.69,2.06
Salem,11.6643,78.146,Sivakasi,9.4486,77.7984,Local Road,187.07,4.61
Dharmapuri,12.1357,78.1603,Thanjavur,10.7867,79.1386,Highway,418.69,5.45
Nagercoil,8.1773,77.4344,Dindigul,10.3624,77.9695,Local Road,422.37,6.01
Sivakasi,9.4486,77.7984,Pudukkottai,10.3833,78.8167,State Road,408.59,7.07
Krishnagiri,12.5192,78.2138,Sivakasi,9.4486,77.7984,Highway,346.99,6.17
Coimbatore,11.0168,76.9558,Dharmapuri,12.1357,78.1603,State Road,175.2,3.75
Madurai,9.9252,78.1198,Krishnagiri,12.5192,78.2138,Highway,332.54,5.12
Cuddalore,11.7447,79.768,Salem,11.6643,78.146,Highway,123.19,1.78
Vellore,12.9165,79.1325,Coimbatore,11.0168,76.9558,Highway,415.31,6.58
Tirunelveli,8.7139,77.7567,Kanchipuram,12.8342,79.7036,Highway,259.16,6.29
Dindigul,10.3624,77.9695,Madurai,9.9252,78.1198,Highway,66.67,1.45
Salem,11.6643,78.146,Tirunelveli,8.7139,77.7567,Local Road,347.96,5.58
Krishnagiri,12.5192,78.2138,Erode,11.341,77.7172,Highway,343.25,5.11
Sivakasi,9.4486,77.7984,Vellore,12.9165,79.1325,State Road,341.61,5.61
Thoothukudi,8.7642,78.1348,Pudukkottai,10.3833,78.8167,Highway,378.15,7.67
Karur,10.9601,78.0766,Coimbatore,11.0168,76.9558,Local Road,491.79,11.28
Sivakasi,9.4486,77.7984,Krishnagiri,12.5192,78.2138,State Road,429.29,9.54
Dharmapuri,12.1357,78.1603,Krishnagiri,12.5192,78.2138,Local Road,184.17,3.27
Erode,11.341,77.7172,Madurai,9.9252,78.1198,State Road,81.21,1.2
Salem,11.6643,78.146,Chennai,13.0827,80.2707,State Road,337.95,5.32
Cuddalore,11.7447,79.768,Erode,11.341,77.7172,Local Road,80.24,1.03
Thanjavur,10.7867,79.1386,Erode,11.341,77.7172,Local Road,109.32,2.52
Dharmapuri,12.1357,78.1603,Krishnagiri,12.5192,78.2138,Local Road,182.08,2.53
Sivakasi,9.4486,77.7984,Dindigul,10.3624,77.9695,Highway,216.95,3.48
Vellore,12.9165,79.1325,Madurai,9.9252,78.1198,Local Road,205.39,4.96
Dindigul,10.3624,77.9695,Thanjavur,10.7867,79.1386,Highway,257.45,3.93
Thanjavur,10.7867,79.1386,Krishnagiri,12.5192,78.2138,Local Road,87.38,1.22
Krishnagiri,12.5192,78.2138,Tiruchirappalli,10.7905,78.7047,Highway,221.78,2.9
Chennai,13.0827,80.2707,Dharmapuri,12.1357,78.1603,Highway,363.43,4.73
Thoothukudi,8.7642,78.1348,Pudukkottai,10.3833,78.8167,Highway,82.41,1.31
Dindigul,10.3624,77.9695,Kanchipuram,12.8342,79.7036,Highway,84.27,1.89
Thoothukudi,8.7642,78.1348,Krishnagiri,12.5192,78.2138,Local Road,443.55,5.88
Cuddalore,11.7447,79.768,Vellore,12.9165,79.1325,Local Road,122.02,2.03
Thanjavur,10.7867,79.1386,Sivakasi,9.4486,77.7984,Local Road,145.87,1.9
Thoothukudi,8.7642,78.1348,Erode,11.341,77.7172,Highway,270.85,4.55
Krishnagiri,12.5192,78.2138,Erode,11.341,77.7172,State Road,435.8,5.67
Thanjavur,10.7867,79.1386,Madurai,9.9252,78.1198,Highway,371.61,6.59
Karur,10.9601,78.0766,Pudukkottai,10.3833,78.8167,State Road,440.57,7.59
Coimbatore,11.0168,76.9558,Kanchipuram,12.8342,79.7036,Local Road,477.68,7.23
Cuddalore,11.7447,79.768,Tiruchirappalli,10.7905,78.7047,State Road,113.37,1.94
Krishnagiri,12.5192,78.2138,Dharmapuri,12.1357,78.1603,Highway,291.57,5.77
Kanchipuram,12.8342,79.7036,Salem,11.6643,78.146,Local Road,450.19,5.67
Salem,11.6643,78.146,Kanchipuram,12.8342,79.7036,State Road,261.62,6.26
Erode,11.341,77.7172,Karur,10.9601,78.0766,Local Road,412.13,8.05
Pudukkottai,10.3833,78.8167,Cuddalore,11.7447,79.768,Local Road,222.23,3.62
Madurai,9.9252,78.1198,Krishnagiri,12.5192,78.2138,Local Road,439.92,5.79
Pudukkottai,10.3833,78.8167,Vellore,12.9165,79.1325,Highway,372.42,4.7
Vellore,12.9165,79.1325,Kanchipuram,12.8342,79.7036,Highway,391.67,5.38
Madurai,9.9252,78.1198,Chennai,13.0827,80.2707,Local Road,190.08,2.51
Thoothukudi,8.7642,78.1348,Erode,11.341,77.7172,State Road,125.47,1.61
Thanjavur,10.7867,79.1386,Nagercoil,8.1773,77.4344,Local Road,220.73,5.42
Dharmapuri,12.1357,78.1603,Vellore,12.9165,79.1325,State Road,143.73,2.75
Coimbatore,11.0168,76.9558,Chennai,13.0827,80.2707,Local Road,89.67,2.18
Dharmapuri,12.1357,78.1603,Krishnagiri,12.5192,78.2138,Highway,389.83,8.2
Pudukkottai,10.3833,78.8167,Nagercoil,8.1773,77.4344,Local Road,394.48,6.57
Madurai,9.9252,78.1198,Pudukkottai,10.3833,78.8167,Highway,381.12,7.44
Chennai,13.0827,80.2707,Kanchipuram,12.8342,79.7036,Highway,202.35,3.26
Chennai,13.0827,80.2707,Madurai,9.9252,78.1198,Local Road,449.49,8.28
Thoothukudi,8.7642,78.1348,Chennai,13.0827,80.2707,Local Road,331.17,5.81
Erode,11.341,77.7172,Dindigul,10.3624,77.9695,State Road,152.36,2.94
Vellore,12.9165,79.1325,Salem,11.6643,78.146,State Road,434.63,7.57
Nagercoil,8.1773,77.4344,Cuddalore,11.7447,79.768,State Road,375.51,5.25
Sivakasi,9.4486,77.7984,Karur,10.9601,78.0766,State Road,487.21,9.34
Sivakasi,9.4486,77.7984,Cuddalore,11.7447,79.768,Highway,92.31,1.33
